M,fund_freq_MHz,fund_level_dBFS,largest_spur_dBFS,spur_freq_MHz,SFDR_dB,noise_floor_dBFS
2048,6.8359375,0.00180181680219253,-62.2432415795251,6.787109375,62.2450433963273,-86.7004019355859
512,6.8359375,0.00181843566477272,-71.2428056085429,20.5078125,71.2446240442077,-88.4021182491305
